term,positive_mean_tfidf,negative_mean_tfidf,tfidf_difference,positive_npmi,negative_npmi,npmi_difference,composite_score,favored_group
michiganders,0.0,0.000430253702,-0.000430253702,-1.0,0.080825121433,-1.080825121433,-1.081255375135,cold
talent,0.0,0.000429187946,-0.000429187946,-1.0,0.080825121433,-1.080825121433,-1.081254309379,cold
constitutionally,0.0,0.00042527101,-0.00042527101,-1.0,0.080825121433,-1.080825121433,-1.081250392443,cold
charter,0.0,0.002119982129,-0.002119982129,-1.0,0.078516907539,-1.078516907539,-1.080636889668,cold
island,0.0,0.001382739895,-0.001382739895,-1.0,0.078516907539,-1.078516907539,-1.079899647434,cold
affiliates,0.0,0.001314660277,-0.001314660277,-1.0,0.078363949163,-1.078363949163,-1.07967860944,cold
directory,0.0,0.001314660277,-0.001314660277,-1.0,0.078363949163,-1.078363949163,-1.07967860944,cold
colleges,0.0,0.002727922027,-0.002727922027,-1.0,0.076944987042,-1.076944987042,-1.07967290907,cold
priority,0.0,0.001057124954,-0.001057124954,-1.0,0.078516907539,-1.078516907539,-1.079574032494,cold
agricultural,0.0,0.00187752951,-0.00187752951,-1.0,0.077688259166,-1.077688259166,-1.079565788676,cold
entrepreneurship,0.0,0.000870037141,-0.000870037141,-1.0,0.078516907539,-1.078516907539,-1.079386944681,cold
senator,0.0,0.000869778742,-0.000869778742,-1.0,0.078363949163,-1.078363949163,-1.079233727905,cold
updated,0.0,0.000784029412,-0.000784029412,-1.0,0.078363949163,-1.078363949163,-1.079147978575,cold
habitats,0.0,0.00076047622,-0.00076047622,-1.0,0.078363949163,-1.078363949163,-1.079124425383,cold
shortage,0.0,0.000576773732,-0.000576773732,-1.0,0.078363949163,-1.078363949163,-1.078940722895,cold
patterns,0.0,0.000567720204,-0.000567720204,-1.0,0.078363949163,-1.078363949163,-1.078931669367,cold
succeed,0.0,0.001604938085,-0.001604938085,-1.0,0.077305528488,-1.077305528488,-1.078910466573,cold
snyder,0.0,0.000539540279,-0.000539540279,-1.0,0.078363949163,-1.078363949163,-1.078903489442,cold
things,0.0,0.00052289302,-0.00052289302,-1.0,0.078363949163,-1.078363949163,-1.078886842183,cold
improvement,0.0,0.000516289218,-0.000516289218,-1.0,0.078363949163,-1.078363949163,-1.078880238381,cold
plays,0.0,0.000509427775,-0.000509427775,-1.0,0.078363949163,-1.078363949163,-1.078873376938,cold
counties,0.0,0.000506846634,-0.000506846634,-1.0,0.078363949163,-1.078363949163,-1.078870795797,cold
pure,0.0,0.000497028596,-0.000497028596,-1.0,0.078363949163,-1.078363949163,-1.078860977759,cold
nutritious,0.0,0.000485341029,-0.000485341029,-1.0,0.078363949163,-1.078363949163,-1.078849290192,cold
rectify,0.0,0.000452876181,-0.000452876181,-1.0,0.078363949163,-1.078363949163,-1.078816825344,cold
concerns,0.0,0.000446467305,-0.000446467305,-1.0,0.078363949163,-1.078363949163,-1.078810416468,cold
shale,0.0,0.000443714685,-0.000443714685,-1.0,0.078363949163,-1.078363949163,-1.078807663848,cold
steam,0.0,0.000440970775,-0.000440970775,-1.0,0.078363949163,-1.078363949163,-1.078804919938,cold
studies,0.0,0.000432847025,-0.000432847025,-1.0,0.078363949163,-1.078363949163,-1.078796796188,cold
brightest,0.0,0.000432773131,-0.000432773131,-1.0,0.078363949163,-1.078363949163,-1.078796722294,cold
substantially,0.0,0.000431813797,-0.000431813797,-1.0,0.078363949163,-1.078363949163,-1.078795762961,cold
enhancement,0.0,0.000430243394,-0.000430243394,-1.0,0.078363949163,-1.078363949163,-1.078794192557,cold
safeguarding,0.0,0.000415239761,-0.000415239761,-1.0,0.078363949163,-1.078363949163,-1.078779188924,cold
efficiently,0.0,0.000413640498,-0.000413640498,-1.0,0.078363949163,-1.078363949163,-1.078777589661,cold
participants,0.0,0.000412905026,-0.000412905026,-1.0,0.078363949163,-1.078363949163,-1.078776854189,cold
update,0.0,0.000411551409,-0.000411551409,-1.0,0.078363949163,-1.078363949163,-1.078775500572,cold
lifestyle,0.0,0.000411081243,-0.000411081243,-1.0,0.078363949163,-1.078363949163,-1.078775030406,cold
unemployed,0.0,0.000409961904,-0.000409961904,-1.0,0.078363949163,-1.078363949163,-1.078773911067,cold
flooding,0.0,0.000408139084,-0.000408139084,-1.0,0.078363949163,-1.078363949163,-1.078772088247,cold
flexibility,0.0,0.000404174784,-0.000404174784,-1.0,0.078363949163,-1.078363949163,-1.078768123947,cold
subsidize,0.0,0.000402992069,-0.000402992069,-1.0,0.078363949163,-1.078363949163,-1.078766941232,cold
